IDENTIFIKA»NÕ »ÕSLO,DRUH POZEMNÕ KOMUNIKACE,»ÕSLO POZEMNÕ KOMUNIKACE,"den, mÏsÌc, rok",,Ëas ,DRUH NEHODY,DRUH SR¡éKY JEDOUCÕCH VOZIDEL,DRUH PEVN… PÿEK¡éKY,CHARAKTER NEHODY,ZAVINÃNÕ NEHODY,ALKOHOL U VINÕKA NEHODY PÿÕTOMEN,HLAVNÕ PÿÕ»INY NEHODY,usmrceno osob,tÏûce zranÏno osob,lehce zranÏno osob,CELKOV¡ HMOTN¡ äKODA,DRUH POVRCHU VOZOVKY,STAV POVRCHU VOZOVKY V DOBÃ NEHODY,STAV KOMUNIKACE,POVÃTRNOSTNÕ PODMÕNKY V DOBÃ NEHODY,VIDITELNOST,ROZHLEDOV… POMÃRY,DÃLENÕ KOMUNIKACE,SITUOV¡NÕ NEHODY NA KOMUNIKACI,ÿÕZENÕ PROVOZU V DOBÃ NEHODY,MÕSTNÕ ⁄PRAVA PÿEDNOSTI V JÕZDÃ,SPECIFICK¡ MÕSTA A OBJEKTY V MÕSTÃ NEHODY,SMÃROV… POMÃRY,PO»ET Z⁄»ASTNÃN›CH VOZIDEL,MÕSTO DOPRAVNÕ NEHODY,DRUH KÿIéUJÕCÕ KOMUNIKACE,DRUH VOZIDLA,V›ROBNÕ ZNA»KA MOTOROV…HO VOZIDLA,ROK V›ROBY VOZIDLA,CHARAKTERISTIKA VOZIDLA ,SMYK,VOZIDLO PO NEHODÃ,"⁄NIK PROVOZNÕCH, PÿEPRAVOVAN›CH HMOT",ZPŸSOB VYPROäTÃNÕ OSOB Z VOZIDLA,SMÃR JÕZDY NEBO POSTAVENÕ VOZIDLA,äKODA NA VOZIDLE,KATEGORIE ÿIDI»E,STAV ÿIDI»E,VNÃJäÕ OVLIVNÃNÕ ÿIDI»E,nan.1,nan.2,nan.3,nan.4,nan.5,nan.6,nan.7,nan.8,nan.9,nan.10,nan.11,nan.12,nan.13,nan.14,nan.15,nan.16,nan.17,nan.18,LOKALITA NEHODY
2100190023,6,,2019-01-01,2,2560,2,0,0,2,1,0,516,0,0,0,800,1,3,1,1,1,1,1,1,0,0,0,1,2,0,,17,,XX,,,,,,,0,,,,,,"-736950,309","-1044539,987","-736950,96","-1044539,96",Praha10-Vröovice,Bohdaleck·,,mÌstnÌkomunikace,,1531346.0,,,Pomal˝,554782.0,472557.0,GN_V0.1UIR-ADR_410,1
2100190024,6,,2019-01-01,2,1830,1,2,0,2,1,2,502,0,0,0,100,2,1,1,1,4,1,0,1,3,3,1,4,2,10,,3,2.0,11,3.0,0.0,0.0,0.0,1.0,5.0,50,3.0,1.0,1.0,,,"-742180,969","-1041727,008","-742182,473","-1041727,242",PRAHA7Holeöovice,KAMENICK¡,,mÌstnÌkomunikace,,,,,,,,,1
2100190025,6,,2019-01-01,2,2560,2,0,0,2,1,0,516,0,0,0,50,2,1,1,1,1,1,1,1,0,0,0,1,2,0,,17,,XX,,,,,,,0,,,,,,"-731067,422","-1042192,847","-731067,481","-1042191,554",PRAHA9-»ERN›MOST,Chlumeck·,,mÌstnÌkomunikace,,2777925.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,450260.0,GN_V0.1UIR-ADR_410,1
2100190026,5,,2019-01-01,2,1830,6,0,0,2,4,0,100,0,0,0,50,2,3,1,1,4,1,3,1,0,0,0,1,1,0,,3,16.0,16,1.0,0.0,1.0,0.0,1.0,5.0,50,2.0,1.0,1.0,,,"-741685,914","-1047191,487","-741690,212","-1047195,617",PRAHA4,5.kvÏtna,,mÌstnÌkomunikace,,1757015.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,463698.0,GN_V0.1UIR-ADR_410,1
2100190027,6,,2019-01-01,2,2560,2,0,0,2,1,0,516,0,0,0,10,1,1,1,1,1,1,1,1,0,0,0,1,2,0,,17,,XX,,,,,,,0,,,,,,"-736945,89","-1044542,197","-736945,614","-1044545,113",Praha1-StarÈMÏsto,KarolÌnySvÏtlÈ,,mÌstnÌkomunikace,,1481848.0,,,Pomal˝,554782.0,461652.0,GN_V0.1UIR-ADR_410,1
2100190028,4,,2019-01-01,2,1950,1,4,0,2,1,0,503,0,0,0,100,2,3,1,1,4,1,0,1,2,0,2,4,2,12,,17,,XX,,,,,,,0,,,,,,"-748382,143","-1043216,781","-748389,643","-1043217,981",PRAHA6B¯evnov,KUKULOVA,,uzel,,,,,,,,,1
2100190029,5,,2019-01-01,2,2131,8,3,0,2,1,2,405,0,0,0,1300,2,3,1,1,4,1,0,7,3,3,0,5,2,10,,3,39.0,10,1.0,0.0,1.0,0.0,1.0,3.0,500,2.0,1.0,1.0,,,"-743106,406","-1043443,056","-743107,067","-1043443,622",PRAHA5,PlzeÚsk·,,mÌstnÌkomunikace,,276255.0,,,Pomal˝,554782.0,466611.0,GN_V0.1UIR-ADR_410,1
2100190030,5,,2019-01-01,2,2245,0,0,0,2,6,0,100,0,0,0,50,2,3,6,4,5,1,1,1,0,0,0,1,1,0,,3,7.0,11,1.0,0.0,1.0,0.0,1.0,1.0,50,3.0,1.0,1.0,,,"-739186,926","-1048765,884","-739186,871","-1048766,731",PRAHA4Chodov,T‹RKOVA,,uzel,,,,,,,,,1
2100190031,6,,2019-01-02,3,115,1,2,0,2,1,2,404,0,0,0,1000,1,3,1,1,4,1,0,1,0,5,0,5,2,10,,3,39.0,11,3.0,0.0,1.0,0.0,1.0,5.0,500,3.0,1.0,1.0,,,"-736986,764","-1044364,341","-736986,681","-1044365,237",Praha1,RytÌ¯sk·,,mÌstnÌkomunikace,,2778809.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,464368.0,GN_V0.1UIR-ADR_410,1
2100190032,4,,2019-01-02,3,107,1,3,0,2,1,2,508,0,0,0,1800,2,3,1,1,4,1,0,1,2,0,2,4,2,19,,5,26.0,17,3.0,0.0,1.0,0.0,1.0,31.0,600,3.0,1.0,1.0,,,"-743453,576","-1044057,174","-743453,579","-1044057,159",PRAHA1,,,mÌstnÌkomunikace,,2378911.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,447129.0,GN_V0.1UIR-ADR_410,1
2100190033,5,,2019-01-02,3,320,2,0,0,1,1,9,511,0,0,1,3250,2,3,1,1,4,1,2,1,0,0,0,1,6,0,,3,35.0,09,1.0,0.0,0.0,0.0,1.0,1.0,600,2.0,5.0,0.0,,,"-740298,615","-1045020,025","-740298,647","-1045021,904",PRAHA10Vröovice,RUSK¡,,sledovan·komunikace,,,,,,,,,1
2100190034,4,,2019-01-02,3,448,3,0,9,2,1,2,502,0,0,0,400,2,3,1,1,4,1,0,1,3,3,0,4,1,19,,8,78.0,09,5.0,0.0,1.0,0.0,1.0,13.0,300,4.0,1.0,1.0,,,"-743185,666","-1043403,696","-743185,955","-1043402,683",Praha10,»ernokosteleck·,,mÌstnÌkomunikace,,276291.0,,Souhlasn˝sesmÏrem˙seku,Pomal˝,554782.0,452696.0,GN_V0.1UIR-ADR_410,1
